date,code,volume,pctChg,close,high,amount,turn
2017-06-01,sh.600674,28707204,0.942410,9.6400,9.7000,275893200.0000,0.652119
2017-06-02,sh.600674,15825838,-0.311210,9.6100,9.7000,152606025.0000,0.359503
2017-06-05,sh.600674,13844011,-0.312172,9.5800,9.7100,133198412.0000,0.314484
2017-06-06,sh.600674,18494270,0.104386,9.5900,9.6600,177159853.0000,0.420120
2017-06-07,sh.600674,34667801,-0.521378,9.5400,9.6400,331567104.0000,0.787521
2017-06-08,sh.600674,20264215,0.733749,9.6100,9.6100,193579116.0000,0.460326
2017-06-09,sh.600674,34238533,0.416233,9.6500,9.7100,330034048.0000,0.777770
2017-06-12,sh.600674,20320130,0.207259,9.6700,9.7600,196816290.0000,0.461597
2017-06-13,sh.600674,12471858,-0.310235,9.6400,9.6900,120273303.0000,0.283313
2017-06-14,sh.600674,18378559,-1.348549,9.5100,9.6600,175595641.0000,0.417491
2017-06-15,sh.600674,12250827,0.210300,9.5300,9.5500,116518525.0000,0.278293
2017-06-16,sh.600674,6566967,-0.209858,9.5100,9.5300,62431344.0000,0.149177
2017-06-19,sh.600674,8530366,0.315455,9.5400,9.5500,81184588.0000,0.193778
2017-06-20,sh.600674,7950828,-0.209638,9.5200,9.5700,75705841.0000,0.180613
2017-06-21,sh.600674,15836036,1.365537,9.6500,9.6600,151564143.0000,0.359735
2017-06-22,sh.600674,31847044,-0.103619,9.6400,9.8400,310309232.0000,0.723445
2017-06-23,sh.600674,18137285,1.141075,9.7500,9.7600,175408352.0000,0.412011
2017-06-26,sh.600674,23564071,0.717946,9.8200,9.8500,230638135.0000,0.535287
2017-06-27,sh.600674,11784186,0.000000,9.8200,9.8800,115708573.0000,0.267692
2017-06-28,sh.600674,8805001,-0.407332,9.7800,9.8300,86106951.0000,0.200016
2017-06-29,sh.600674,13726119,0.715753,9.8500,9.8500,134744181.0000,0.311806
2017-06-30,sh.600674,10190291,-0.304575,9.8200,9.8500,99939439.0000,0.231485
2017-07-03,sh.600674,12710002,-0.610993,9.7600,9.8400,124189330.0000,0.288723
2017-07-04,sh.600674,8757480,0.000000,9.7600,9.7800,85392427.0000,0.198937
2017-07-05,sh.600674,16138824,1.024584,9.8600,9.8700,158301769.0000,0.366613
2017-07-06,sh.600674,13644344,0.304267,9.8900,9.9300,134902112.0000,0.309948
